City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Aksu,CN,41.1231,80.2644,49.17,24,23,4.21,few clouds
242,Saskylakh,RU,71.9167,114.0833,-4.86,92,100,8.39,overcast clouds
243,Virginia Beach,US,36.8529,-75.978,64.0,92,100,3.0,overcast clouds
244,Malaryta,BY,51.7905,24.074,33.62,74,18,2.24,few clouds
245,Chesma,RU,53.8111,60.6533,11.71,92,48,5.53,scattered clouds
246,Araguacu,BR,-12.9306,-49.8264,76.77,72,99,3.78,overcast clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,73.4,59,40,17.27,scattered clouds
248,Alanya,TR,36.5438,31.9998,48.2,66,40,9.22,scattered clouds
249,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,5.75,light rain
250,Peterhead,GB,57.5058,-1.7981,42.01,81,65,6.91,broken clouds
251,Carutapera,BR,-1.195,-46.02,75.36,93,100,5.35,light rain
252,San Patricio,US,28.017,-97.5169,77.0,78,90,13.8,overcast clouds
253,Haverfordwest,GB,51.8017,-4.9691,48.99,90,73,14.0,broken clouds
254,San Antero,CO,9.3741,-75.7589,80.6,76,73,11.83,broken clouds
255,Moose Factory,CA,51.2585,-80.6094,24.8,80,90,9.22,light snow
256,Mednogorsk,RU,51.4128,57.595,19.26,95,97,7.38,overcast clouds
257,Apiai,BR,-24.5094,-48.8425,64.56,99,83,3.47,broken clouds
258,Kajaani,FI,64.2273,27.7285,33.8,86,0,11.5,clear sky
259,Vilyuysk,RU,63.7553,121.6247,-10.79,100,100,1.83,overcast clouds
260,Arona,ES,28.0996,-16.681,68.0,52,0,10.36,clear sky
261,Bethel,US,41.3712,-73.414,51.01,92,100,3.0,moderate rain
262,San Vicente,AR,-26.6167,-54.1333,65.98,99,88,2.57,light rain
263,Beberibe,BR,-4.1797,-38.1306,80.01,89,20,4.61,few clouds
264,Hambantota,LK,6.1241,81.1185,77.77,82,100,9.78,heavy intensity rain
265,Sisimiut,GL,66.9395,-53.6735,0.28,92,100,12.28,overcast clouds
266,Mount Isa,AU,-20.7333,139.5,84.2,34,40,12.66,scattered clouds
267,Srednekolymsk,RU,67.45,153.6833,-2.94,87,100,3.65,overcast clouds
268,Salinas,US,36.6777,-121.6555,64.4,34,1,12.66,clear sky
269,Lebu,CL,-37.6167,-73.65,54.73,67,8,18.43,clear sky
270,Gizo,SB,-8.103,156.8419,84.58,68,99,6.17,overcast clouds
271,Kaiyuan,CN,23.6977,103.3037,58.19,84,1,5.59,clear sky
272,Kizilskoye,RU,52.7255,58.8937,15.33,99,72,3.13,broken clouds
